일자	단어	뜻
1일차	make use of 	~을 활용하다
1일차	plot	음모
1일차	brute	야수 짐승같은
1일차	molecule 	분자
1일차	commodity 	"상품, 물품"
1일차	correspond	일치하다
1일차	removed from 	~과 다른[동떨어진]
1일차	microscopic 	"미시적인, 현미경의"
1일차	pear	서양배
1일차	shot 	숏(영화에서 한 대의 카메라가 계속해 서 잡는 장면)
1일차	big	큰
1일차	across	가로질러
1일차	dramatic	"인상적인, 극적인"
1일차	might	힘
1일차	liberal	자유주의의
1일차	gift	선물
1일차	fountain	샘
1일차	maintain 	유지하다
1일차	instant	즉시의
1일차	giftedness 	영재성
1일차	dog	개
1일차	roar 	포효
1일차	work out 	~을 계산하다
1일차	transaction 	거래
1일차	inquiry 	조사
1일차	basic	기본의
1일차	purchase	"사다, 구입하다"
1일차	make up 	~을 이루다
1일차	inventory 	"물품 목록, 재고(품)"
1일차	undertake	떠맡다
1일차	mode 	방식
1일차	disconnected 	단절된
1일차	moderate 	"중간의, 중도의"
1일차	cue 	"신호, 단서"
1일차	automatically 	무의식적으로
1일차	investigator 	조사관
1일차	random 	제멋대로의
1일차	triumph 	승리하다
1일차	envy	질투
1일차	burn	시내
1일차	stir 	불러일으키다
1일차	post 	"게재하다, 게시하다"
1일차	fundamental 	"(주로 복수로) 기초, 기본"
1일차	perceive 	인식하다
1일차	excellent	우수한
1일차	ocean	대양
1일차	nature 	본질
1일차	poet	시인
1일차	spit	침을 뱉다
2일차	prestige 	"명망, 명성"
2일차	grasp 	이해하다
2일차	periodically 	주기적으로
2일차	wage	임금
2일차	utility 	"효용, 유용"
2일차	constitute 	구성하다
2일차	dying to do 	몹시 ~하고 싶은
2일차	full	가득찬
2일차	woodland 	삼림 지대
2일차	extent 	"정도, 범위"
2일차	venture 	모험적 사업
2일차	serve in the ranks 	사병으로 복무하다
2일차	indicate 	"보여 주다, 나타내다"
2일차	aptitude 	"소질, 적성"
2일차	anniversary 	"기념일, 기념행사"
2일차	unsettling 	"심란한, 불안하게 하는"
2일차	half-day 	(오전이나 오후 중) 반나절만 근무하 는 날
2일차	primacy 	"제일, 수위"
2일차	fresh	새로운
2일차	air	공기
2일차	margin	가장자리
2일차	depiction 	묘사
2일차	microevolution 	소진화
2일차	net	그물
2일차	command 	명령
2일차	angel	천사
2일차	formal	형식상의
2일차	be engaged 	"관여하다, 참여하다"
2일차	issue 	(정기 간행물의) 호
2일차	episode	삽화
2일차	bay	만
2일차	offender 	"가해자, 범죄자"
2일차	terrace	계단모양의 뜰(광장)
2일차	order 	질서
2일차	cultivate	경작하다
2일차	file	종이끼우개
2일차	anthropology 	인류학
2일차	candidate 	"지원자, 후보자"
2일차	puzzle	"당황, 혼란 괴롭히는 사람,  어려운 문제"
2일차	strip	벗기다
2일차	switch	회초리
2일차	stable 	"불변의, 안정적인"
2일차	hair	털
2일차	applicant 	지원자
2일차	off-white 	회색을 띤 백색의
2일차	companion 	"동료, 동반자"
2일차	delicacy 	"별미, 진미"
2일차	reproduce 	번식하다
2일차	pregnant	임신한 충만한
2일차	drastically 	"대폭(적으로), 과감하게"
3일차	rage	격노
3일차	outrage	불법(적인 행위)
3일차	national border 	국경
3일차	colleague 	동료
3일차	contrary to 	~과는 달리
3일차	fire	불
3일차	nonverbal 	비언어적인
3일차	retail	소매
3일차	rumor	소문
3일차	float 	뜨다
3일차	instruct	가르치다
3일차	symphony 	교향곡
3일차	people	사람들
3일차	furnish	공급하다
3일차	genetically programmed 	유전적으로 프로그램화된
3일차	emerge 	"(새로이) 생겨나다, 나타나다"
3일차	traffic	교통
3일차	condemn	나무라다
3일차	formation	형성
3일차	New Deal 	뉴딜 정책(미국이 1930년대의 대공황 기에 실시한 경제 부흥과 사회 보장 증 진 정책)
3일차	accomplishment 	"업적, 공적"
3일차	counsel	의논
3일차	sad	슬픈
3일차	individual	개인
3일차	well-being 	"복지, 행복, 안녕"
3일차	bond to 	~과 결합하다
3일차	afraid	두려워하여
3일차	persuasive 	설득하는
3일차	appropriately 	적절하게
3일차	strain 	"무리하다, 안간힘을 쓰다"
3일차	hip	엉덩이
3일차	cite	인용하다(quote)
3일차	hungry	배고픈
3일차	commitment 	약속
3일차	theme	논제
3일차	justify 	정당화하다
3일차	noise	소리
3일차	twice	두 번
3일차	few	소수의
3일차	stand in the way 	방해가 되다
3일차	reaffirm 	재확인하다
3일차	present 	"제시하다, 보여 주다"
3일차	lead 	선례
3일차	formulate 	만들어 내다
3일차	endure	견디다
3일차	peculiar 	"이상한, 특이한"
3일차	lift 	해제하다
3일차	plenty	많음
3일차	expertise 	전문 지식
3일차	tax	세금
4일차	charming 	매력적인
4일차	sequence	연속
4일차	evidence 	"명백함, 증거"
4일차	where	어디에 (-하는)곳에 pr.어디 (문제의)장소
4일차	disrupt	분열시키다
4일차	ad agency 	광고 대행사
4일차	accomplished 	뛰어난
4일차	vast 	방대한
4일차	rain	비
4일차	overlook	내려다 보다
4일차	dismiss 	"무시하다, 잊어버리다"
4일차	resist	저항하다
4일차	excommunication 	"제명, 추방"
4일차	orbit	궤도
4일차	contemporary 	현대의
4일차	instruction 	교육
4일차	except	-을 제외하고는 제외하다
4일차	nurture 	기르다
4일차	never	결코 -아니다
4일차	struggle 	"버둥거리다, 애쓰다"
4일차	offend 	화나게 하다
4일차	diverse	다양한
4일차	slope	비탈
4일차	liberty	자유
4일차	protest 	항의하다
4일차	bias 	"편향, 치우침"
4일차	prior to 	~ 이전에
4일차	beneficial 	유익한
4일차	safely 	"별로 틀리지 않게, 무난하게"
4일차	reassuring 	"걱정을 없애 주는, 안도감을 주는"
4일차	effect 	결과로 ~을 초래하다[가져오다]
4일차	accumulation 	축적
4일차	induce	꾀다
4일차	add up 	늘어나다
4일차	replace 	"돌려주다, 갚다"
4일차	persist 	끈기 있게 지속하다
4일차	demand	요구하다
4일차	analytical 	분석적인
4일차	obey	따르다
4일차	wavelength 	"주파수, 파장"
4일차	competitive 	경쟁의
4일차	thick	두꺼운
4일차	hour	시간
4일차	disabled	불구가 된
4일차	logical 	논리적인
4일차	barrier 	장벽
4일차	exposure 	"드러남, 노출"
4일차	essential	본질적인
4일차	deprive	빼앗다
4일차	doctor of philosophy 	"박사, 박사 학위"
5일차	beauty	아름다움
5일차	slice	얇은조각
5일차	reside 	"존재하다, 거주하다"
5일차	indicate 	"보여 주다, 나타내다"
5일차	short-sightedness 	"짧은 생각, 단견, 근시"
5일차	population 	"인구, 주민"
5일차	count 	중요하다
5일차	attend to 	~에 주의를 기울이다
5일차	atom 	원자
5일차	fixture 	고정적인 요소
5일차	thank	감사하다 감사
5일차	remind	생각나게 하다
5일차	strife 	"싸움, 다툼"
5일차	think	생각하다
5일차	progressive 	"현대적인, 진보적인"
5일차	tongue	혀
5일차	circle	원
5일차	motion	운동
5일차	tolerant 	관용적인
5일차	chance 	"가능성, 우연"
5일차	matter 	중요하다
5일차	nominate	추천하다
5일차	status 	지위
5일차	frame of mind 	(특정한 때의) 사고방식[기분]
5일차	turn out 	"~을 만들어 내다, ~을 생산하다"
5일차	be taken for granted 	당연시되다
5일차	bowl	사발
5일차	executive 	경영진
5일차	blast	돌풍
5일차	deck	갑판
5일차	overestimate 	과대평가하다
5일차	commercial 	상업의
5일차	murder	살인
5일차	not ... any more than ~	~하지 않듯이 …하지 않다
5일차	fade 	서서히 사라지다
5일차	process 	처리하다
5일차	entrapment 	"속박감, 함정에 빠진 상태"
5일차	introduce	안으로 들이다
5일차	cotton	목화
5일차	entertain	즐겁게 하다
5일차	pride	자존심
5일차	clue	단서
5일차	friend	친구
5일차	link 	연결하다
5일차	ease	안락
5일차	flatter 	아첨하다
5일차	sack	마대
5일차	considerable 	상당한
5일차	gamble	도박하다 도박 도박해서 잃다
5일차	consumer society 	소비 사회
6일차	virtual	"사실상의, 실질상의, 실제의  허상의"
6일차	embrace	포옹하다
6일차	critic	비평가
6일차	and	및
6일차	alien 	이국의
6일차	divide	나누다
6일차	reverse 	역전시키다
6일차	adapt	적용시키다
6일차	profound 	"깊은, 심오한"
6일차	decent 	"괜찮은, 점잖은"
6일차	outdoors 	야외에서
6일차	path	작은 길
6일차	secret	비밀의
6일차	tense 	시제
6일차	account	설명하다 계산
6일차	activate	활동적으로 하다
6일차	extraordinary 	"대단한, 비범한"
6일차	accompany	동반하다
6일차	portrait	초상
6일차	indifferent 	"개의치 않는, 무관심한"
6일차	component 	"부품, 구성 요소"
6일차	brilliant 	"영리한, 우수한"
6일차	disagreeable 	불쾌한
6일차	supply 	공급
6일차	population	인구
6일차	set in one’s way 	자기 방식이 몸에 밴
6일차	because	왜냐하면
6일차	craft 	공예
6일차	sense	감각
6일차	unique 	"유일한, 유례가 없는"
6일차	address 	(문제를) 다루다
6일차	above	-보다 위에
6일차	fright	(갑자기 엄습하는)공포
6일차	up to 	~까지
6일차	element	요소
6일차	sort	종류
6일차	bit	bite의 과거(분사) 작은 조각
6일차	nut	견과
6일차	consistent 	"일치하는, 일관된"
6일차	miracle	기적
6일차	progress 	진보
6일차	respective 	"각각의, 각자의"
6일차	sophisticated	물정에 닳고 닳은
6일차	agricultural 	농업의
6일차	substance 	물질
6일차	nail	손톱
6일차	foundation 	"기초, 토대"
6일차	disturbing 	"충격적인, 불안감을 주는"
6일차	comedy	희극
6일차	uncomfortable 	불편한
7일차	attain 	"달성하다, 이루다"
7일차	celebrate 	기념하다
7일차	word	낱말
7일차	stroke 	뇌졸중
7일차	post	기둥
7일차	monument	기념비
7일차	distort	찌그러뜨리다
7일차	land	뭍
7일차	stem from 	~에서 비롯되다
7일차	unreasonable 	불합리한
7일차	catch hold of 	~을 (붙)잡다
7일차	encounter 	"(우연히) 만나다, 마주치다"
7일차	rid	면하게하다
7일차	annually 	해마다
7일차	in	-속에
7일차	consumption 	"섭취, 소비"
7일차	profession 	직업
7일차	voter 	투표자
7일차	pan	남비 사금 등을 남비로 가려내다
7일차	conduct 	수행하다
7일차	absence 	부재
7일차	comparable 	"비교 가능한, 비슷한"
7일차	withdraw	물러나다
7일차	obtain 	"얻다, 획득하다"
7일차	anticipated 	예상되는
7일차	immovable 	"변경할 수 없는, 움직일 수 없는"
7일차	opposite to 	~과 반대의
7일차	donate 	기부하다
7일차	claim 	"(광고나 라벨 등의) 설명 문구, 선전 문구"
7일차	about	-에 대하여
7일차	recommend	추천하다
7일차	candidate	지원자
7일차	apparently 	"겉보기에는, 외관상으로"
7일차	stand for 	~을 나타내다[상징하다]
7일차	rescue	구하다
7일차	list	일람표
7일차	subscriber 	"구독자, 가입자"
7일차	dimension 	"측면, 차원"
7일차	conception 	"개념, 생각"
7일차	independent 	독자적인
7일차	data-mining 	데이터 마이닝(대규모 자료를 토대로 새로운 정보를 찾아내는 것)
7일차	description	서술
7일차	unavailable 	"이용할 수 없는, 손에 넣을 수 없는"
7일차	arrangement 	"배치, 배열"
7일차	obese 	비만의
7일차	questionnaire	질문표
7일차	fossil fuel 	화석 연료
7일차	shortfall 	부족분
7일차	big picture 	"큰 그림, 전체적인 상황"
7일차	compromise	타협 타협하다
8일차	self-diagnosis 	자가 진단 (pl. self-diagnoses)
8일차	heritage	세습 재산
8일차	density 	밀도
8일차	extensive 	"많은, 광범위한"
8일차	galaxy 	은하
8일차	verbally 	말로
8일차	battery	전지
8일차	rebel	반역자
8일차	distinguish 	"구별하다, 구분하다"
8일차	initial 	최초의
8일차	pursuit 	추구
8일차	population 	모집단
8일차	selective 	"선택적인, 선별적인"
8일차	accord	일치하다
8일차	unparalleled 	비할 데 없는
8일차	ethical 	"윤리(학)의, 윤리적인"
8일차	confuse	혼란시키다
8일차	assign 	"부여하다, 할당하다"
8일차	commitment 	약속
8일차	institution 	"기관, 단체"
8일차	assume 	"가정하다, 추정하다"
8일차	shortage 	부족
8일차	govern 	지배하다
8일차	mental	마음의
8일차	crisis	위기
8일차	universal 	보편적인
8일차	appropriate	적당한
8일차	external 	외부의
8일차	dramatic	"인상적인, 극적인"
8일차	mysteriously 	"신비롭게, 이상하게"
8일차	scarce	부족한
8일차	since	-이래
8일차	regain 	"회복하다, 되찾다"
8일차	costume jewelry 	모조[의상] 장신구
8일차	thoroughly 	"철저히, 대단히"
8일차	adverse	거꾸로의
8일차	death	죽음
8일차	remember	기억하고 있다
8일차	shake	흔들어 움직이다
8일차	populist 	"인민주의의, 인민당의; 포퓰리스트, 인 민주의자"
8일차	concerned 	"신경을 쓰는, 관심을 가진"
8일차	accelerate 	"가속하다, 빨리하다"
8일차	the military 	군인
8일차	picture	그림
8일차	constantly 	끊임없이
8일차	cross 	"잡종, (두 가지 다른 것·동식물의) 혼합, 이종 교배"
8일차	dual 	"이중의, 두 가지의"
8일차	convinced 	확신하는
8일차	foundation 	토대
8일차	appreciate 	"감상하다, 이해하다"
9일차	wood	숲
9일차	resident 	주민
9일차	mass 	질량
9일차	ethical 	윤리적인
9일차	somewhat	약간
9일차	tolerate 	"용인하다, 참다"
9일차	transfer 	"옮기다, 이전하다"
9일차	quarter	1
9일차	dictionary	사전
9일차	amount	(금액이)-이 되다
9일차	live	살다
9일차	outcome 	결과
9일차	bounce	뛰어오르다
9일차	investigate	조사하다
9일차	ease 	"완화하다, 덜다"
9일차	anniversary	기념일 예년의
9일차	contribution 	원인 제공
9일차	delegation 	대표단
9일차	obviously 	분명히
9일차	meet	-을 만나다
9일차	privileged 	"영광스러운, 특권을 가진"
9일차	decade	10년간
9일차	interrupt	훼방놓다
9일차	trade	매매
9일차	assurance 	확신
9일차	signal 	신호를 보내다
9일차	emergency	비상사태
9일차	high	높은
9일차	ever	이전에
9일차	thorough	완전한
9일차	bang	강타
9일차	awesome	무서운
9일차	scope	범위
9일차	largely 	"주로, 대체로"
9일차	generalized 	일반적인
9일차	get a sense 	"감지하다, 감을 잡다"
9일차	measurement 	측정
9일차	expand 	확장하다
9일차	deliberate	숙고하다
9일차	adjust	맞추다
9일차	waste 	"헛되이 쓰다, 낭비하다"
9일차	formerly 	이전에
9일차	define 	정의하다
9일차	dedication 	"전념, 헌신"
9일차	suffer from 	~을 겪다
9일차	finite 	"유한한, 한정된"
9일차	still	소리가 없는 아직(도)
9일차	delivery 	배달
9일차	dependence	종속
9일차	progress	"진행, 전진, 진척  진보, 향상, 발달, 발전"
10일차	gulf	만
10일차	debate	토론 토론하다
10일차	neurobiologist 	신경생리학자
10일차	in the public interest 	공익을 위한
10일차	estimated 	"예상의, 추정의, 추측의"
10일차	ingredient 	"요소, 성분"
10일차	van	유개트럭
10일차	national identity 	국가 정체성
10일차	packet	다발
10일차	lounge	빈둥거리다
10일차	on one’s own 	"혼자서, 단독으로"
10일차	cross-cultural 	비교 문화의
10일차	evenly 	"대등하게, 고르게"
10일차	coupled with 	~과 결합하여
10일차	guarantee 	"보증, 굳은 약속"
10일차	colony 	군집
10일차	secure 	확보하다
10일차	trigger 	촉발하다
10일차	erroneous 	잘못된
10일차	sustain	떠받치다
10일차	index	색인
10일차	sufficient	충분한
10일차	design	디자인
10일차	chase	쫓다
10일차	nest	보금자리
10일차	airline	정기항공
10일차	precondition 	전제 조건
10일차	bully	약한 자를 못살게 구는 자
10일차	immigrate	이주하다
10일차	request	부탁하다
10일차	rank	열
10일차	provide 	제공하다
10일차	nephew	조카
10일차	stir 	자극하다
10일차	sheep	양
10일차	basket	바구니
10일차	archive	기록보관소
10일차	confirm 	확인하다
10일차	stress	압박
10일차	annoy 	성가시게 하다
10일차	send	보내다
10일차	royal	왕의
10일차	dimension 	"측면, 차원"
10일차	young	젊은
10일차	commitment 	"집념, 전념"
10일차	tale	이야기
10일차	identity 	정체성
10일차	task	일
10일차	exploit 	"개발[개척]하다, 이용하다"
10일차	hill	"언덕, 낮은 산 인도 고지"
11일차	apply 	적용되다
11일차	force	힘
11일차	chronic	만성의
11일차	union 	"통합, 연합"
11일차	broadcaster 	방송사
11일차	official 	"관리, 공무원"
11일차	dedicate 	"(시간·노력을) 쓰다, 바치다"
11일차	analysis 	분석 (pl. analyses)
11일차	naked	발가벗은
11일차	transact	처리하다
11일차	pity 	"동정하다, 애석하게 여기다"
11일차	telephone directory 	전화번호부
11일차	detach	분리하다
11일차	diagnose 	진단하다
11일차	mysteriously 	"신비롭게, 이상하게"
11일차	insight 	"통찰, 이해"
11일차	modern	현대의
11일차	than	-보다도
11일차	dare	au감히 -하다
11일차	incidence 	"발생률, 빈도"
11일차	pole	폴란드사람
11일차	bath	목욕
11일차	substantially 	상당히
11일차	feature 	"상상하다, 마음속에 그려 보다"
11일차	aptitude 	적성
11일차	regret to do 	~하게 되어 유감이다
11일차	divine 	"신성한, 신의"
11일차	display 	"제시하다, 나타내다, 보여 주다"
11일차	thought experiment 	사고 실험
11일차	pronounced 	"두드러진, 뚜렷한"
11일차	passerby 	"행인, 지나가는 사람"
11일차	straightforward 	간단한
11일차	claim 	주장하다
11일차	classroom	교실
11일차	portion 	"몫, 부분"
11일차	execution 	"실행, 집행"
11일차	graduate 	대학 졸업자
11일차	deny 	거부하다
11일차	govern 	지배하다
11일차	common pool resource 	공유 자원
11일차	compared to 	~에 비해
11일차	imply 	암시하다
11일차	spark 	촉발하다
11일차	knot	매듭(=tie)
11일차	series	연속
11일차	inefficiently 	비효율적으로
11일차	characteristic	특유한
11일차	mindless 	"특별한 이유가 없는, 아무 생각 없는"
11일차	watchdog 	감시 단체
11일차	extremely 	"매우, 극도로"
12일차	set up 	"조성하다, 만들다"
12일차	sugar	설탕
12일차	familiar	친한
12일차	emphasize 	강조하다
12일차	drive	운전하다
12일차	profound	"깊은, 심원한"
12일차	fund-raiser 	(자선 단체·조직 등을 위한) 기금 모금 행사
12일차	strive for 	~을 얻으려고 노력하다
12일차	investigation 	연구
12일차	particle	입자
12일차	reproduce 	번식하다
12일차	gear	톱니바퀴
12일차	committed 	헌신적인
12일차	discourage 	"막다, 억제하다"
12일차	transmit	보내다
12일차	lick 	핥다
12일차	timescale 	(어떤 일에 소요되는) 기간
12일차	book	책
12일차	appreciate 	감사하다
12일차	chat	잡담
12일차	imitate 	모방하다
12일차	primary 	주요한
12일차	collaborator 	"공동 연구자, 협력자"
12일차	industry	공업
12일차	charge	요금
12일차	nothing	아무것도 …없다
12일차	commitment 	"집념, 전념"
12일차	museum	박물관
12일차	brew	양조하다
12일차	solid 	확실한
12일차	manage	관리하다
12일차	astronomer 	천문학자
12일차	nutritional 	영양적인
12일차	demonstrate	입증하다
12일차	superior 	우월한
12일차	ash	회
12일차	desire 	욕구
12일차	ruddy 	붉은
12일차	barn	헛간
12일차	measure 	"따지다, 판단하다, 측정하다"
12일차	bear with 	~을 견디다
12일차	refer to 	~을 의미하다[나타내다]
12일차	coherent 	일관적인
12일차	cancel	취소하다
12일차	knee	무릎
12일차	on the rise 	"증가 추세인, 상승세인"
12일차	state 	상태
12일차	property	"재산, 자산"
12일차	contradict 	"부정[부인]하다, 모순되다"
12일차	utility 	공공요금
13일차	chaos	혼돈
13일차	charitable 	자선의
13일차	extensive 	"많은, 광범위한"
13일차	hurt	상처내다
13일차	funeral	장사
13일차	foundation 	"토대, 기초"
13일차	commendable 	"칭찬할 만한, 훌륭한"
13일차	retire	퇴직하다
13일차	integration 	통합
13일차	operate	움직이다
13일차	ramp 	경사로
13일차	suspect	짐작하다
13일차	be on the lookout for 	~을 찾고 있다
13일차	savanna 	(아프리카의) 대초원
13일차	inhabitant 	"거주자, 주민"
13일차	serve	섬기다
13일차	profile 	"(대중의) 관심, 인지도"
13일차	trigger	방아쇠 재빠른
13일차	year	연
13일차	store	가게
13일차	engine	엔진
13일차	unaggressive 	"유화적인, 비공격적인"
13일차	at least 	적어도
13일차	organized 	체계적인
13일차	increase	늘다
13일차	ancient	옛날의
13일차	patch	깁는 헝겊
13일차	graduate	학위를 수여하다
13일차	constant	불변의
13일차	additional 	추가적인
13일차	unpronounceable 	발음하기 너무 힘든
13일차	feature 	"상상하다, 마음속에 그려 보다"
13일차	gap 	"격차, 간격"
13일차	parlor song 	응접실 노래(응접실 같은 데서 가볍게 들을 수 있는 노래)
13일차	lip	입술
13일차	social	사회의
13일차	secretary	비서
13일차	cognitive 	인지적인
13일차	certificate 	인증서
13일차	note	기록
13일차	separation 	분리
13일차	associate	연상하다
13일차	breeze	미풍
13일차	revolution	혁명
13일차	generalization 	일반화
13일차	dimension	치수
13일차	symphony 	교향곡
13일차	rare metals 	희금속
13일차	foundation 	"토대, 기초"
13일차	grant	받아들이다
14일차	minimize 	최소화하다
14일차	overwhelmed 	(감정에) 휩싸인
14일차	cancellation 	취소
14일차	transform	"변형(변용,변태)시키다"
14일차	legislate 	법률을 제정하다
14일차	catch one’s breath 	숨을 고르다
14일차	conscience 	양심
14일차	ignore	무시하다
14일차	in isolation 	고립된 채로
14일차	stroking 	쓰다듬기
14일차	donate 	기부하다
14일차	inquiry 	"탐구, 연구, 질문"
14일차	flat	편평한
14일차	prophet 	예언자
14일차	swallow one’s pride 	자존심을 굽히다
14일차	overhead	머리위에 머리 위의
14일차	supplement	부록
14일차	lawyer	법률가
14일차	frequent 	빈번한
14일차	both	쌍방의
14일차	happy	행운의
14일차	confirm 	"확인하다, 확증하다"
14일차	riot	"폭동, 소요, 소동   야단법석, 다채로움,"
14일차	govern 	지배하다
14일차	majesty 	"위엄, 권위"
14일차	inventory 	"물품 목록, 재고(품)"
14일차	rod	막대
14일차	psychologist 	심리학자
14일차	help	돕다
14일차	descend 	"내려앉다, 다가오다"
14일차	lawn	잔디밭
14일차	observer 	"논평가, 평자"
14일차	competitive 	경쟁의
14일차	awakening 	"자각, 일깨움"
14일차	flashing 	번쩍이는
14일차	determine 	결정하다
14일차	practice 	"수완, 숙련"
14일차	finger	손가락 손가락을 대다
14일차	incorporate 	"포함하다, 결합하다"
14일차	norm 	"일반적인 것, 표준"
14일차	joke	농담
14일차	matter 	물질
14일차	dwarf 	난쟁이
14일차	chance	우연
14일차	currency	통용
14일차	unrelated 	친족이 아닌
14일차	production 	제작
14일차	throw	던지다
14일차	piece 	신문[잡지] 기사
14일차	oil	기름
15일차	in support of 	~을 지지하여
15일차	disturb	교란하다
15일차	motor 	운동의
15일차	folk 	사람들
15일차	shelter 	쉼터
15일차	ghost	유령
15일차	gratitude 	감사
15일차	march 	당당하게 걷다
15일차	appreciation 	"이해, 감상"
15일차	relief 	안도
15일차	secondary 	"부수적인, 부차적인"
15일차	gain 	"진전, 증가"
15일차	a bunch of 	"많은, 다수의"
15일차	gentle 	"부드러운, 온화한"
15일차	activism 	(정치적) 행동주의
15일차	crash	도산
15일차	equal	같은
15일차	weed	잡초 잡초를 뽑다
15일차	primary	"첫째의, 제1위의, 수위의 초등의, 초보의"
15일차	staged 	연출된
15일차	disobedient 	순종적이지 않은
15일차	reason 	이성
15일차	dip	담그다
15일차	grounded in 	~에 기반을 둔
15일차	enroll 	등록하다
15일차	pave	(도로를)포장하다
15일차	confusing 	혼란스러운
15일차	unparalleled 	비할 데 없는
15일차	relatively 	"비교적, 상대적으로"
15일차	phenomenon 	현상
15일차	late	늦은
15일차	cognitive 	인지적인
15일차	individually 	개별적으로
15일차	wrong	나쁜
15일차	prestige 	"명망, 명성"
15일차	brand new 	"신설의, 완전히 새로운"
15일차	cognitive 	"인지의, 인식의"
15일차	capitalism 	자본주의
15일차	circumstance 	환경
15일차	separate 	별개의
15일차	tackle	고패
15일차	hot	뜨거운
15일차	contextual 	"상황적인, 문맥상의"
15일차	dinner	정찬
15일차	assume 	가정하다
15일차	prospective 	"장래의, 미래의"
15일차	violently 	격렬하게
15일차	judge	재판관
15일차	edge 	"우위, 강점"
15일차	recommendation 	"제안 (사항), 추천"
16일차	ride	타다
16일차	bow	절
16일차	frequent 	빈번한
16일차	all	모든
16일차	acute	날카로운
16일차	the disadvantaged 	(사회적) 약자들
16일차	presidency 	대통령직
16일차	white	흰
16일차	hell	지옥
16일차	selective 	"까다로운, 선별적인"
16일차	motivation 	동기
16일차	hook	갈고리
16일차	announce 	발표하다
16일차	flag 	정지 신호를 보내다
16일차	delicacy 	"별미, 진미"
16일차	athlete	운동가
16일차	elevation 	"해발, 고도"
16일차	urge 	"충동, (강한) 욕구"
16일차	customarily 	관례적으로
16일차	find	발견하다
16일차	endeavour 	"노력, 시도"
16일차	perception 	인식
16일차	urge 	"충동, (강한) 욕구"
16일차	generosity 	관대함
16일차	consent	승낙하다
16일차	polish 	"닦다, 광을 내다"
16일차	sister	여자형제
16일차	thus	이렇게
16일차	habit	습관
16일차	inspire 	영감을 주다
16일차	physics	물리학
16일차	the other way around 	반대로
16일차	observer 	"논평가, 평자"
16일차	attitude 	태도
16일차	suspicious 	의심스러운
16일차	separate 	분리하다
16일차	photoshoot 	사진 촬영
16일차	ban 	금지
16일차	cold	추운
16일차	reinforce 	강화하다
16일차	helicopter	헬리콥터
16일차	existence 	존재
16일차	objective 	객관적인
16일차	interrupt 	"방해하다, 중단시키다"
16일차	external 	외적인
16일차	power source 	"동력원, 전력원"
16일차	specialize in 	~을 전문으로 하다
16일차	season	계절
16일차	example	보기
16일차	flag 	정지 신호를 보내다
17일차	scandal	추문
17일차	neurological 	"신경학의, 신경의"
17일차	humanly	인간적으로
17일차	leather	무두질한 가죽
17일차	demonstrable 	입증 가능한
17일차	efficient	능률적인
17일차	additional 	추가의
17일차	with regard to 	~에 관해서
17일차	crawl	네발로 기다
17일차	rock-solid 	"확고부동한, 굳건한"
17일차	outdoors 	야외에서
17일차	self-reflect 	자신을 돌아보다
17일차	testify	증명하다
17일차	mold 	곰팡이
17일차	association 	협회
17일차	restore 	"회복시키다, 복구하다"
17일차	interest 	"이해관계(자), 이익"
17일차	in a matter of 	불과 ~ 만에
17일차	whisper	속삭이다
17일차	result	결과
17일차	stove	stave의 과거(분사)
17일차	cathedral	대성당
17일차	guarantee	보증하다
17일차	reliance 	의존
17일차	wealth	재산
17일차	translate ~ into …	~을 ?으로 바꾸다
17일차	place 	기회
17일차	take ~ for granted	~을 당연하게 여기다
17일차	interest 	이익
17일차	priority 	우선순위
17일차	evening	저녁
17일차	sex	성
17일차	wipe out 	멸종시키다
17일차	experiment	실험
17일차	change blindness 	변화맹
17일차	adaptation 	적응
17일차	implement 	시행하다
17일차	vague	막연한
17일차	dispute 	분쟁을 벌이다
17일차	predator 	포식자
17일차	stain 	얼룩
17일차	metaphysical 	형이상학적인
17일차	previous	"앞의, 이전의"
17일차	passenger 	"여객, 승객"
17일차	permission 	"허락, 허가"
17일차	rest on 	~에 달려 있다
17일차	anthropology 	인류학
17일차	animal	동물
17일차	pale	창백한
17일차	prince	"왕자, 태자, 세자, 대군"
18일차	monkey	원숭이
18일차	demand 	요구하다
18일차	workforce 	노동력
18일차	tribe 	부족
18일차	god	신
18일차	fixed 	고정된
18일차	acquire 	"얻다, 습득하다"
18일차	obvious 	뚜렷한
18일차	smoke	연기
18일차	suffer from 	~을 겪다
18일차	various 	다양한
18일차	utility 	"효용, 유용"
18일차	primarily 	무엇보다 먼저
18일차	conditional 	조건부의
18일차	debt	빚
18일차	range 	"음역, 범위"
18일차	efficient 	효율적인
18일차	front	정면
18일차	observe 	관찰하다
18일차	curve	곡선
18일차	gentleman	신사
18일차	timid 	"소심한, 소극적인"
18일차	regular	규칙적인
18일차	put	"놓다, 두다"
18일차	structure	구조
18일차	prescription drug 	처방이 필요한 약
18일차	argue	논하다
18일차	rival	경쟁자 경쟁하는 경쟁하다
18일차	pre-hired 	"미리 부른, 미리 고용된"
18일차	displeased 	"불만스러운, 불쾌한"
18일차	watermelon	수박
18일차	content 	기꺼이 ~하려 하는
18일차	secure	안전한
18일차	home court advantage 	홈 코트 이점
18일차	many	많은
18일차	tonight	오늘밤에 오늘밤
18일차	moon 	위성
18일차	evidential 	"증거적(인), 증거에 입각한"
18일차	commitment 	"책무, 약속"
18일차	initially 	초기에
